,symbol,Sector
189,BMY,Healthcare
190,BNE,Business Services
191,BNHN,Consumer Services
192,BNI,Industrials
193,BNP,Finance
194,BN,
195,BOBE,Consumer Services
196,BOL,Healthcare
197,BONT,Consumer Non-Cyclicals
198,BOOM,Non-Energy Materials
199,BPL,Energy
200,BDY,Healthcare
201,BPT,Finance
202,BRC,Business Services
203,BRE,Finance
204,BRID,Consumer Non-Cyclicals
205,BRL,Healthcare
206,BRN,Energy
207,BRO,Finance
208,BRY,Energy
209,BSET,Consumer Cyclicals
210,BSTC,Healthcare
211,BSX,Healthcare
212,BSG,Finance
213,LCTX,
214,BTUI,Technology
215,BUD,Consumer Non-Cyclicals
216,BUTLE,Technology
217,MTRN,Non-Energy Materials
218,BWL_A,Consumer Services
219,CAL,Consumer Cyclicals
220,BZ,Non-Energy Materials
221,CA,Technology
222,CACC,Finance
223,CACI,Business Services
224,CATO,Consumer Cyclicals
225,CADA,Consumer Cyclicals
226,CAG,Consumer Non-Cyclicals
227,CAKE,Consumer Services
228,CAMD,Technology
229,CAMP,Technology
230,CANI,Finance
231,CKR,Consumer Services
232,CASC,
233,CASY,Consumer Cyclicals
234,CAT,Industrials
235,CBAG,
236,CBE,Technology
237,CBI,Industrials
238,CBM,Healthcare
239,CBRL,Consumer Services
240,CBT,Non-Energy Materials
241,CC,Consumer Cyclicals
242,APY,Healthcare
243,CAW,Consumer Non-Cyclicals
244,CCBL,Technology
245,CCC,Non-Energy Materials
246,CCEP,Consumer Non-Cyclicals
247,CCK,Non-Energy Materials
248,CCUR,Technology
249,CDE,Non-Energy Materials
250,CDI,
251,CAH,Healthcare
252,CDMS,Business Services
253,CDNS,Technology
254,CECE,Industrials
255,CEGE,Healthcare
256,CELG,Healthcare
257,CVM,Healthcare
258,CEPH,Healthcare
259,CERN,Technology
260,CFCM,Non-Energy Materials
261,CGC,Utilities
262,CGL_A,Consumer Non-Cyclicals
263,THN,Technology
264,CGNX,Technology
265,CHB,Finance
266,CHD,Consumer Non-Cyclicals
267,CKP,Technology
268,CHIR,Healthcare
269,CHP,
270,CPK,Utilities
271,CHRS,Consumer Cyclicals
272,CHRZ,Technology
273,CHTT,Healthcare
274,CHUX,Consumer Services
275,CIN,Utilities
276,CKEC,Consumer Services
277,CKH,Energy
278,CL,Consumer Non-Cyclicals
279,CLC,Industrials
280,CDZI,Utilities
281,CLE,Consumer Cyclicals
282,CLF,Non-Energy Materials
283,CLH,Business Services
284,CLSN,Healthcare
285,CLX,Consumer Non-Cyclicals
286,CLZR,Healthcare
287,CMC,Non-Energy Materials
288,CMCS_A,Telecommunications
289,CMM,Finance
290,CRK,Energy
291,CMRO,Technology
292,CMS,Utilities
293,CMTL,Technology
294,CMX,Healthcare
295,CNW,Industrials
296,CHG,Utilities
297,CNL,Utilities
298,CNMD,Healthcare
299,CMD,Healthcare
300,CNXS,Healthcare
301,COA,Consumer Cyclicals
302,JNP,Healthcare
303,COG,Energy
304,COHU,Technology
305,COHR,Technology
306,COKE,Consumer Non-Cyclicals
307,COMS,Technology
308,COO,Healthcare
309,COST,Consumer Non-Cyclicals
310,CPAK,Consumer Non-Cyclicals
311,CPB,Consumer Non-Cyclicals
312,CPCI,Technology
313,CPSH,Non-Energy Materials
314,CPWR,Technology
315,CPY,Consumer Non-Cyclicals
316,CQB,Consumer Non-Cyclicals
317,CR,Industrials
318,CRAN,Industrials
319,CRD_B,Business Services
320,CRDN,
321,CREB,
322,CRED,Energy
323,CRFT,Industrials
324,CRLI,
325,CRC,Consumer Cyclicals
326,CRRC,Business Services
327,CRS,Non-Energy Materials
328,CRUS,Technology
329,CRV,Consumer Cyclicals
330,CRVL,Healthcare
331,CSAR,Non-Energy Materials
332,CSCO,Technology
333,JCS,Technology
334,CSK,Non-Energy Materials
335,CSL,Non-Energy Materials
336,CSPI,Technology
337,CSS,Consumer Cyclicals
338,CSTL,Technology
339,CSX,Industrials
340,CTAS,Business Services
341,CTB,Consumer Cyclicals
342,CTEC,Healthcare
343,CTL,Telecommunications
344,CTO,Finance
345,CTS,Technology
346,CTWS,Utilities
347,CTX,Finance
348,CUB,Industrials
349,CULP,Non-Energy Materials
350,CMI,Consumer Cyclicals
351,CUO,Non-Energy Materials
352,CUZ,Finance
353,CV,Utilities
354,CVV,Technology
355,CVR,Non-Energy Materials
356,CVH,Healthcare
357,CW,Industrials
358,CWT,Utilities
359,CAV,Finance
360,CY,Technology
361,CYAN,Healthcare
362,CYBE,Technology
363,CYCL,Telecommunications
364,CAU,Non-Energy Materials
365,FTR,Telecommunications
366,D,Utilities
367,DAIO,Technology
368,DBD,Technology
369,ESCR,Energy
370,ASNA,Consumer Cyclicals
371,DCI,Industrials
372,DCN,
373,DCO,Industrials
374,DD,Non-Energy Materials
375,DDS,Consumer Non-Cyclicals
376,DE,Industrials
377,DEBS,Consumer Cyclicals
378,DEVC,Non-Energy Materials
379,DGAS,Utilities
380,DGII,Technology
381,CVA,Utilities
382,DHR,Industrials
383,DII,Consumer Non-Cyclicals
384,DIOD,Technology
385,DIS,Consumer Services
386,DISK,Consumer Services
387,DJ,Consumer Services
388,DJCO,Consumer Services
389,ELA,
390,DLX,Business Services
391,DNB,Technology
392,DNEX,Healthcare
393,RRD,
394,DG,Consumer Non-Cyclicals
395,DOV,Industrials
396,DP,Healthcare
397,DPL,Utilities
398,DQE,Utilities
399,DRCO,Industrials
400,DRE,Finance
401,LCII,
402,DHI,Finance
403,DRTK,Business Services
404,LCRD,Technology
405,DSCP,Healthcare
406,DTE,
407,USAU,Technology
408,DUK,Energy
409,DUSA,Healthcare
410,DVN,Energy
411,ATGE,Consumer Non-Cyclicals
412,DWSN,Energy
413,DXR,Healthcare
414,DXYN,Consumer Non-Cyclicals
415,DY,Industrials
416,COBR,Technology
417,DYNT,Healthcare
418,EASI,Industrials
419,EAT,Consumer Services
420,EBF,Business Services
421,EC,Non-Energy Materials
422,ECIL,Technology
423,ECL,Non-Energy Materials
424,ECOL,Business Services
425,ED,Utilities
426,EDAC,
427,EDE,Utilities
428,EDO,Industrials
429,EDUC,Consumer Services
430,EEI,Industrials
431,EFII,Technology
432,EFX,Business Services
433,EGN,Energy
434,EGP,Finance
435,EK,Technology
436,ELGT,
437,ELK,Non-Energy Materials
438,ELRC,Industrials
439,ELSE,Industrials
440,ELY,Consumer Cyclicals
441,EMBX,Healthcare
442,EMC,Technology
443,EMIS,Healthcare
444,EML,Non-Energy Materials
445,EMR,Industrials
446,ENC,Consumer Cyclicals
447,ENDO,Healthcare
448,ENER,Industrials
449,KMP,Energy
450,ENZ,Healthcare
451,ENZN,Healthcare
452,EOG,Energy
453,EP,Energy
454,EQT,Utilities
455,EA,Technology
456,ESCA,Consumer Cyclicals
457,ESCC,Technology
458,ESE,
459,KEYW,Industrials
460,ESIO,Technology
461,ESL,Technology
462,ESP,Industrials
463,ESRX,Healthcare
464,VAL,Energy
465,ETC,Industrials
466,ETN,Industrials
467,ETR,Utilities
468,EXAR,Technology
469,EXPD,Industrials
470,EZPW,Finance
471,F,Consumer Cyclicals
472,FA,Industrials
473,CLGX,Finance
474,FARL,
475,FARM,Consumer Non-Cyclicals
476,FAST,Industrials
477,FC,Consumer Cyclicals
478,FCE_A,Finance
479,M,Consumer Non-Cyclicals
480,FDO,Consumer Non-Cyclicals
481,FDX,Industrials
482,FEIM,Technology
483,FELE,Industrials
484,FICO,Technology
485,FILE,Technology
486,FIMGE,Healthcare
487,FIF,Finance
488,FINL,Consumer Cyclicals
489,FISV,Finance
490,FJC,Industrials
491,FLA,Industrials
492,FLE,Consumer Cyclicals
493,FLO,Consumer Non-Cyclicals
494,FLOW,
495,FLXS,Consumer Cyclicals
496,FMC,Non-Energy Materials
497,STRS,Finance
498,FOE,Non-Energy Materials
499,S,
500,FONR,Healthcare
501,FPB,Consumer Cyclicals
502,NEE,Utilities
503,FPU,Utilities
504,FEP,Technology
505,FRD,
506,FRE,Finance
507,FRED,Consumer Non-Cyclicals
508,FRK,Non-Energy Materials
509,FRS,Consumer Services
510,FRT,Finance
511,FRX,Healthcare
512,FSCR,Non-Energy Materials
513,FSH,Healthcare
514,FSII,Technology
515,FSM,
516,FSS,
517,FSTR,Non-Energy Materials
518,FUEL,Industrials
519,FUL,Non-Energy Materials
520,FUN,Consumer Services
521,FUR,Finance
522,FWLT,Energy
523,PCGR,Healthcare
524,GAP,Consumer Non-Cyclicals
525,GBL,Finance
526,GVA,Industrials
527,TGNA,Consumer Services
528,BGC,Industrials
529,GCO,Consumer Cyclicals
530,GD,Industrials
531,GDYS,Consumer Non-Cyclicals
532,GE,Healthcare
533,GEHL,Industrials
534,EDCI,Telecommunications
535,GENBB,
536,GENZ,Healthcare
537,GEOI,Energy
538,RHP,
539,AXLL,Non-Energy Materials
540,GGG,Industrials
541,GHM,Industrials
542,GI,Energy
543,GIGA,Technology
544,GIII,Consumer Cyclicals
545,GILD,Healthcare
546,GIS,Consumer Non-Cyclicals
547,GK,Business Services
548,GLDC,Consumer Non-Cyclicals
549,OUTD,Consumer Services
550,GLT,
551,GLW,Technology
552,GLYT,Industrials
553,GM,Finance
554,GMP,Utilities
555,GATX,Finance
556,GNI,Non-Energy Materials
557,GNLB,Healthcare
558,GNTX,Consumer Cyclicals
559,GOT,Consumer Non-Cyclicals
560,GPC,Consumer Cyclicals
561,GPS,Consumer Cyclicals
562,GR,Industrials
563,GRA,Non-Energy Materials
564,GRB,Technology
565,GRC,Industrials
566,GRIF,
567,GROW,Finance
568,GT,Consumer Cyclicals
569,GTK,Consumer Services
570,CLRO,Technology
571,GTSI,Technology
572,GTY,Finance
573,GV,Industrials
574,GWW,Industrials
575,AJRD,Consumer Cyclicals
576,GYRO,Finance
577,HA,Industrials
578,HAE,Healthcare
579,HAL,Energy
580,HAMP,Consumer Cyclicals
581,MNST,Consumer Non-Cyclicals
582,HAR,Technology
583,HAS,Consumer Cyclicals
584,HVT,Consumer Cyclicals
585,HRC,Healthcare
586,HCT,Telecommunications
587,PEAK,Finance
588,HCR,Healthcare
589,HCSG,Business Services
590,HD,Consumer Cyclicals
591,HOG,Consumer Cyclicals
592,HDL,Consumer Services
593,HE,Utilities
594,HKN,Energy
595,HEI,Industrials
596,HEII,Technology
597,HELE,Consumer Non-Cyclicals
598,HEMA,
599,HNGR,Healthcare
600,HH,Healthcare
601,HICK_A,Consumer Cyclicals
602,HILL,Technology
603,HIST,Consumer Cyclicals
604,HITK,Healthcare
605,HKF,Consumer Cyclicals
606,HL,Non-Energy Materials
607,HLD,Consumer Cyclicals
608,HLT,Consumer Services
609,HMA,Healthcare
610,HMG,Finance
611,HMSY,Healthcare
612,HMX,Consumer Cyclicals
613,HNZ,Consumer Non-Cyclicals
614,HFC,Energy
615,HOLX,Healthcare
616,HOO,Consumer Non-Cyclicals
617,HOT,Consumer Services
618,HOV,Finance
619,HP,Energy
620,HPC,Non-Energy Materials
621,HRB,Business Services
622,HRH,Finance
623,HRL,Consumer Non-Cyclicals
624,HRLY,Industrials
625,EQC,Finance
626,LHX,Technology
627,MICR,Healthcare
628,HSC,Non-Energy Materials
629,HSY,Consumer Non-Cyclicals
630,HTCH,Technology
631,HTL,Finance
632,HTLD,Industrials
633,HUBB,Industrials
634,HUG,Industrials
635,HUM,Healthcare
636,HURC,Industrials
637,HWG,Non-Energy Materials
638,HWK,Industrials
639,HWKN,Non-Energy Materials
640,HPQ,Technology
641,HX,Technology
642,HXL,Non-Energy Materials
643,IAL,Non-Energy Materials
644,IBM,Technology
645,ICCC,Healthcare
646,VRX,
647,ICOS,Healthcare
648,AFP,Industrials
649,ICUI,Healthcare
650,IDA,Utilities
651,IDCC,Technology
652,BIIB,Healthcare
653,IDTI,Technology
654,IDNX,Technology
655,IDXX,Healthcare
656,IEHC,
657,IEIBC,Technology
658,IEX,Industrials
659,IFF,Non-Energy Materials
660,IFLO,Healthcare
661,TILE,Consumer Non-Cyclicals
662,DIN,Consumer Services
663,IIIN,Non-Energy Materials
664,IINT,Technology
665,IIVI,Technology
666,IMCL,Healthcare
667,IMDC,Healthcare
668,IMGC,Healthcare
669,IMGN,Healthcare
670,IMKT_A,Consumer Non-Cyclicals
671,IMMU,Healthcare
672,ARS,Non-Energy Materials
673,TCX,Technology
674,INFS,Technology
675,INGR,Technology
676,INPH,Technology
677,INS,Finance
678,AEGN,Industrials
679,INT,Industrials
680,INTC,Technology
681,INTG,
682,INTL,Technology
683,INTV,Technology
684,INVX,
685,IOM,Technology
686,IOR,Finance
687,IP,Non-Energy Materials
688,IPG,Business Services
689,IO,Industrials
690,TT,Industrials
691,IRF,
692,ISH,Industrials
693,ISIG,Business Services
694,ISYS,Technology
695,ITW,Industrials
696,IVC,Healthcare
697,IVX,Healthcare
698,EPHC,Finance
699,JACO,Technology
700,JBHT,Industrials
701,JBSS,Consumer Non-Cyclicals
702,JCI,Consumer Cyclicals
703,JCP,Consumer Non-Cyclicals
704,J,Industrials
705,JEN,Consumer Cyclicals
706,JH,Business Services
707,FFEX,Industrials
708,JJSF,
709,JKHY,Finance
710,JLG,Industrials
711,JLN,Consumer Cyclicals
712,JMAR,Industrials
713,JNJ,Healthcare
714,JNY,Consumer Cyclicals
715,JOB,Business Services
716,K,Consumer Non-Cyclicals
717,KAMN,Industrials
718,KBAL,Consumer Cyclicals
719,KBH,Finance
720,KCS,Energy
721,KDN,
722,KEA,Technology
723,KEI,Technology
724,KELY_A,Business Services
725,KEQU,Healthcare
726,KEX,Industrials
727,KIM,Finance
728,VIVO,Healthcare
729,KLAC,Technology
730,KLIC,Technology
731,KMB,Consumer Non-Cyclicals
732,KEM,Technology
733,KMG,Energy
734,KMT,Industrials
735,KNAP,Consumer Cyclicals
736,KO,Consumer Non-Cyclicals
737,KOPN,Technology
738,KOSS,Technology
739,KR,Consumer Non-Cyclicals
740,KRI,Consumer Services
741,KRON,Technology
742,KRSL,Industrials
743,KSS,Consumer Non-Cyclicals
744,KSU,Industrials
745,KSWS,Consumer Cyclicals
746,KT,Consumer Non-Cyclicals
747,KTCC,Technology
748,KTII,Industrials
749,KV_A,Healthcare
750,KWD,Consumer Cyclicals
751,LABL,Business Services
752,LAF,Non-Energy Materials
753,LAKE,Consumer Cyclicals
754,LAN,Industrials
755,LANC,Consumer Non-Cyclicals
756,LAWS,Industrials
757,LAYN,Industrials
758,LB,Technology
759,LC,Consumer Services
760,LCBM,Healthcare
761,LCUT,Consumer Non-Cyclicals
762,LDG,Consumer Non-Cyclicals
763,LDL,Consumer Cyclicals
764,LDR,Business Services
765,AXGN,Healthcare
766,LEE,Consumer Services
767,LEG,Consumer Non-Cyclicals
768,LEIX,Consumer Cyclicals
769,LEN,Finance
770,LENS,Technology
771,LFB,Non-Energy Materials
772,LFUS,Technology
773,SR,Utilities
774,LGL,Non-Energy Materials
775,LIFC,Healthcare
776,LIFE,Technology
777,LNN,Industrials
778,LKI,Consumer Cyclicals
779,LLTC,Technology
780,LLY,Healthcare
781,LM,Finance
782,LMLP,Finance
783,LMS,Industrials
784,LNCE,Consumer Non-Cyclicals
785,LNCR,Healthcare
786,EZCH,Technology
787,LOGC,Technology
788,LOJN,Technology
789,LOW,Consumer Cyclicals
790,LPX,Non-Energy Materials
791,LRCX,Technology
792,LXU,Industrials
793,LSCC,Technology
794,LSCO,Non-Energy Materials
795,LSCP,Healthcare
796,LSI,Technology
797,LSS,Energy
798,LTC,Finance
799,LB,Consumer Cyclicals
800,XCRA,Technology
801,LUB,Consumer Services
802,LUFK,Energy
803,JEF,Non-Energy Materials
804,LUV,Industrials
805,LWAY,Consumer Non-Cyclicals
806,LYO,Non-Energy Materials
807,LYTS,Industrials
808,LZ,Non-Energy Materials
809,LZB,Consumer Cyclicals
810,MRD,Non-Energy Materials
811,MAG,Technology
812,MAN,Business Services
813,MANA,Business Services
814,MTW,Industrials
815,MARP_S,Finance
816,MARSA,Consumer Non-Cyclicals
817,SM,Energy
818,MAS,Consumer Non-Cyclicals
819,MTZ,Industrials
820,MAT,Consumer Cyclicals
821,MVK,Energy
822,MAXC,Non-Energy Materials
823,MAXE,Consumer Services
824,MIDD,Industrials
825,MCC,Industrials
826,MKC,Consumer Non-Cyclicals
827,MCD,Consumer Services
828,MCRS,Consumer Services
829,MCX,Energy
830,MDC,Finance
831,MDCI,Healthcare
832,MDP,Consumer Services
833,MDR,Industrials
834,MDT,Healthcare
835,MDU,Industrials
836,MED,Healthcare
837,MEDI,Healthcare
838,NPTH,Healthcare
839,MEDQ,Healthcare
840,MEDW,Healthcare
841,MEDX,Healthcare
842,MEG,
843,MENT,Technology
844,MERC,Non-Energy Materials
845,CVS,Healthcare
846,MESA,Industrials
847,MEI,Technology
848,MFCO,Technology
849,PPIH,Industrials
850,MGM,Consumer Services
851,MGIC,Technology
852,MGRC,Finance
853,SPGI,Consumer Services
854,MIKR,Technology
855,MIL,Healthcare
856,MILAA,
857,MLR,Industrials
858,MITK,Technology
859,MLAB,Healthcare
860,MLHR,Consumer Non-Cyclicals
861,MLI,
862,MMC,Finance
863,MMM,Non-Energy Materials
864,MMSI,Healthcare
865,MSA,Consumer Cyclicals
866,MNI,Consumer Services
867,MNRO,Consumer Cyclicals
868,MNR,Finance
869,MNT,Healthcare
870,MO,Consumer Non-Cyclicals
871,MOCO,Healthcare
872,MOD,Consumer Cyclicals
873,MOG_A,Industrials
874,MOGN,Healthcare
875,MHK,Consumer Non-Cyclicals
876,MOLX,Technology
877,RT,Consumer Services
878,MSI,Technology
879,TELL,Energy
880,MPR,Industrials
881,MCS,Consumer Services
882,MRK,Healthcare
883,MRM,Technology
884,MRO,Energy
885,MRTN,Industrials
886,MRVC,
887,MASC,Non-Energy Materials
888,MSCC,Technology
889,MSEX,Utilities
890,MSFT,Technology
891,MSM,Industrials
892,MSON,Healthcare
893,MSW,
894,POWR,
895,MTRX,Energy
896,MTSC,Industrials
897,MTX,Non-Energy Materials
898,MU,Technology
899,MUR,Energy
900,MVL,
901,MWAV,Technology
902,MXIM,Technology
903,MXM,Non-Energy Materials
904,MXWL,Technology
905,MYE,Non-Energy Materials
906,MYG,Consumer Cyclicals
907,MYL,Healthcare
908,NAFC,Consumer Non-Cyclicals
909,NAII,Healthcare
910,ONTO,Technology
911,NAV,Industrials
912,NBL,Energy
913,NBR,Energy
914,NBSC,Healthcare
915,NTY,Healthcare
916,NC,Industrials
917,NE,Energy
918,NDSN,Industrials
919,NDC,Healthcare
920,NEM,Non-Energy Materials
921,NEOG,
922,NAVB,Healthcare
923,NEWP,Technology
924,NEN,Finance
925,NFG,Utilities
926,NGEN,Healthcare
927,NHC,Healthcare
928,NHHC,Healthcare
929,NHI,Finance
930,NI,Utilities
931,NJR,Utilities
932,NKE,Consumer Cyclicals
933,NL,Non-Energy Materials
934,THC,Healthcare
935,MZT,Healthcare
936,NNN,Finance
937,JWN,Consumer Non-Cyclicals
938,NOBH,Finance
939,NOC,Industrials
940,NOIZ,Technology
941,NOVL,Technology
942,NOVN,Healthcare
943,NPK,Consumer Non-Cyclicals
944,NR,Energy
945,NRGN,Healthcare
946,NSC,Industrials
947,NSHA,Non-Energy Materials
948,NSM,Technology
949,NSS,Energy
950,NSSC,Technology
951,NT,Technology
952,NTP,Technology
953,NTN,Consumer Services
954,NTSC,Industrials
955,ES,Utilities
956,NUCO,Industrials
957,NUE,Non-Energy Materials
958,NUHC,Technology
959,NVLS,Technology
960,NVR,Finance
961,NWK,Technology
962,NWL,Consumer Non-Cyclicals
963,NWN,Utilities
964,NYER,Consumer Non-Cyclicals
965,NYT,Consumer Services
966,ITI,Industrials
967,OBCI,Non-Energy Materials
968,OCR,Healthcare
969,ODFL,Industrials
970,ODP,Consumer Cyclicals
971,OFIX,Healthcare
972,OGE,Energy
973,OI,Non-Energy Materials
974,OICO,Healthcare
975,OII,Energy
976,ODC,Consumer Cyclicals
977,OKE,Utilities
978,CAPS,Healthcare
979,OLGR,Industrials
980,OLN,Non-Energy Materials
981,BRS,Energy
982,OMC,Business Services
983,OMI,Healthcare
984,OMM,Energy
985,OPTC,Technology
986,OPTN,Healthcare
987,ORB,Industrials
988,ORBK,Technology
989,ORCL,Technology
990,OS,Non-Energy Materials
991,OSI,Consumer Services
992,OSTE,Healthcare
993,OSK,Industrials
994,OTTR,Utilities
995,OUTL,Business Services
996,OXM,Consumer Cyclicals
997,OXY,Energy
998,PACK,
999,PHX,Finance
1000,PARL,Consumer Non-Cyclicals
1001,PATK,Non-Energy Materials
1002,FCFS,Finance
1003,PAYX,Business Services
1004,PBI,Technology
1005,PBY,Consumer Cyclicals
1006,PCAR,Industrials
1007,PCG,Utilities
1008,PCH,
1009,PCL,Finance
1010,PMD,Healthcare
1011,PCP,
1012,TPC,Industrials
1013,PD,Non-Energy Materials
1014,PDEX,Healthcare
1015,PDL_B,Finance
1016,PDLI,Healthcare
1017,PEG,Utilities
1018,PEI,Finance
1019,PEP,Consumer Non-Cyclicals
1020,PESI,Business Services
1021,PDCE,Energy
1022,PFE,Healthcare
1023,PFIN,Industrials
1024,PG,Non-Energy Materials
1025,PGL,Utilities
1026,PH,
1027,PHII_K,Energy
1028,PHM,Finance
1029,PIR,Consumer Cyclicals
1030,PKD,Energy
1031,PKE,Non-Energy Materials
1032,PKY,Finance
1033,PLA,Consumer Services
1034,PLAB,Technology
1035,PLL,Healthcare
1036,PLLL,Energy
1037,PLXS,Technology
1038,RDNT,Healthcare
1039,PMFG,
1040,PMRY,Technology
1041,PTC,Technology
1042,PNM,Utilities
1043,PNNW,Utilities
1044,PNRG,Energy
1045,PNR,
1046,PNW,Utilities
1047,PNY,Utilities
1048,PLMD,Healthcare
1049,POM,Utilities
1050,POP,Non-Energy Materials
1051,POPE,Non-Energy Materials
1052,FIZZ,Consumer Non-Cyclicals
1053,POS,Business Services
1054,POSS,Healthcare
1055,POWL,
1056,EPG,Utilities
1057,PPD,Consumer Non-Cyclicals
1058,PPG,Non-Energy Materials
1059,PPL,Utilities
1060,PPP,Energy
1061,PR,
1062,PRCP,Industrials
1063,PDE,Energy
1064,PRGO,Healthcare
1065,PRGS,Technology
1066,PRST,Technology
1067,PSB,Finance
1068,WTRG,Business Services
1069,PSD,Utilities
1070,PAR,Consumer Services
1071,PTEC,Technology
1072,PTNX,Technology
1073,PTSI,Industrials
1074,PVH,Consumer Cyclicals
1075,PVAC,Energy
1076,CSH,Finance
1077,PWR,Industrials
1078,PWX,Industrials
1079,PX,Healthcare
1080,PXR,Technology
1081,PZA,Consumer Non-Cyclicals
1082,KWR,Non-Energy Materials
1083,QCOM,Technology
1084,QDEL,Healthcare
1085,QMED,Healthcare
1086,NVLN,Healthcare
1087,NXGN,Healthcare
1088,QSND,Technology
1089,ZQK,Consumer Cyclicals
1090,QUIP,Industrials
1091,QUIX,Industrials
1092,R,Consumer Cyclicals
1093,RAD,Healthcare
1094,RRA,Industrials
1095,RAND,Finance
1096,RAVN,
1097,RAY,Consumer Cyclicals
1098,RBC,Industrials
1099,DORM,
1100,RBK,Consumer Cyclicals
1101,RDA,Consumer Services
1102,RDC,Energy
1103,HTSI,Consumer Non-Cyclicals
